"codigo";"municipio";"escola";"modelo";"turmas";"sexo";"idade";"temp.residencia";"area";"bairro";"nome.escola";"frequencia";"fez.aula";"flona";"nota";"aula";"exoticas";"nativas";"origem_exoticas";"origem_nativas";"indice_exoticas";"indice_nativas";"exotica_aves";"exotica_invertebrado";"exotica_mamifero";"exotica_peixe";"exotica_reptil";"nativa_aves";"nativa_invertebrado";"nativa_mamifero";"nativa_peixe";"nativa_reptil"
15;"Silvânia";"Pública";1;2;"Masculino";"16";"16";"Urbana";"nossa senhora de fatima";"Colégio Prof. José Pascoal";"Frequentemente";"Sim, FLONA";"Sim";7,5;"Sim";3;2;4;3;3;2;1;1;1;0;0;1;0;1;0;0
16;"Silvânia";"Pública";1;2;"Feminino";"17";"10";"Urbana";"maria de lourdes";"Colégio Prof. José Pascoal";"Ás vezes";"Sim, outro";"Sim";1,6;"Sim";2;2;3;3;1;1;1;0;1;0;0;1;0;1;0;0
17;"Silvânia";"Pública";1;2;"Masculino";"18";"";"Rural";"";"Colégio Prof. José Pascoal";"Frequentemente";"Sim, parque ou trilha";"Sim";4;"Sim";3;2;3;4;3;2;0;1;1;1;0;1;0;1;0;0
18;"Silvânia";"Pública";1;2;"Masculino";"17";"8";"Urbana";"pedrinha";"Colégio Prof. José Pascoal";"Frequentemente";"Sim, parque ou trilha";"Sim";6,1;"Sim";5;3;3;5;3;3;1;1;1;1;1;1;1;1;0;0
19;"Silvânia";"Pública";1;2;"Masculino";"17";"17";"Rural";"";"Colégio Prof. José Pascoal";"Sempre";"Sim, parque ou trilha";"Sim";3,8;"Sim";3;2;2;4;2;2;0;1;1;1;0;1;0;1;0;0
20;"Silvânia";"Pública";1;2;"Feminino";"17";"8";"Urbana";"pedrinhas";"Colégio Prof. José Pascoal";"Raramente";"Não fez";"Não";4,7;"Não";4;3;2;5;2;3;1;1;1;0;1;1;1;1;0;0
21;"Silvânia";"Pública";1;2;"Feminino";"19";"";"Urbana";"pedrinhas";"Colégio Prof. José Pascoal";"Sempre";"Sim, parque ou trilha";"Não";1,2;"Sim";2;3;3;5;1;3;0;1;0;1;0;1;1;1;0;0
22;"Silvânia";"Pública";1;2;"Feminino";"17";"7";"Urbana";"Baú";"Colégio Prof. José Pascoal";"Frequentemente";"Sim, parque ou trilha";"Não";4,1;"Sim";5;2;5;3;5;2;1;1;1;1;1;1;0;1;0;0
23;"Silvânia";"Pública";1;2;"Feminino";"18";"17";"Urbana";"são sebastião 2";"Colégio Prof. José Pascoal";"Frequentemente";"Sim, parque ou trilha";"Não";3,6;"Sim";4;4;1;5;1;4;1;1;1;1;0;1;1;1;0;1
24;"Silvânia";"Pública";1;2;"Masculino";"18";"10";"Rural";"";"Colégio Prof. José Pascoal";"Ás vezes";"Não fez";"Não";4,1;"Não";4;2;1;4;1;2;1;1;1;1;0;1;0;1;0;0
25;"Silvânia";"Pública";1;2;"Feminino";"";"0,5";"Urbana";"nossa senhora de fatima";"Colégio Prof. José Pascoal";"Frequentemente";"Não fez";"Não";3;"Não";1;3;3;2;1;1;1;0;0;0;0;1;1;1;0;0
26;"Silvânia";"Pública";1;2;"Masculino";"17";"17";"Urbana";"pedrinhas";"Colégio Prof. José Pascoal";"Frequentemente";"Sim, parque ou trilha";"Sim";2,2;"Sim";5;2;2;4;2;2;1;1;1;1;1;1;0;1;0;0
27;"Silvânia";"Pública";1;2;"Feminino";"18";"18";"Urbana";"";"Colégio Prof. José Pascoal";"Sempre";"Sim, parque ou trilha";"Sim";1,6;"Sim";3;2;2;5;1;2;0;1;1;1;0;1;0;1;0;0
28;"Silvânia";"Pública";1;2;"Masculino";"";"";"Rural";"";"Colégio Prof. José Pascoal";"Sempre";"Sim, parque ou trilha";"Sim";6,5;"Sim";5;2;4;3;4;2;1;1;1;1;1;1;0;1;0;0
29;"Silvânia";"Pública";1;2;"Feminino";"20";"18";"Rural";"";"Colégio Prof. José Pascoal";"Sempre";"Sim, parque ou trilha";"Sim";6,5;"Sim";4;2;4;4;3;2;1;1;1;0;1;1;0;1;0;0
30;"Silvânia";"Pública";1;2;"Feminino";"20";"20";"Rural";"";"Colégio Prof. José Pascoal";"Sempre";"Sim, parque ou trilha";"Não";4,6;"Sim";4;2;4;5;3;2;1;1;1;1;0;1;0;1;0;0
31;"Silvânia";"Pública";1;2;"Masculino";"17";"17";"Urbana";"";"Colégio Prof. José Pascoal";"Frequentemente";"Sim, parque ou trilha";"Sim";5,1;"Sim";2;3;4;4;2;3;1;0;1;0;0;1;1;1;0;0
32;"Silvânia";"Pública";1;2;"Masculino";"17";"17";"Urbana";"são sebastião";"Colégio Prof. José Pascoal";"Frequentemente";"Sim, parque ou trilha";"Sim";6,2;"Sim";4;3;3;4;3;3;1;1;1;1;0;1;0;1;0;1
33;"Silvânia";"Pública";2;3;"Masculino";"17";"17";"Rural";"";"Colégio Prof. José Pascoal";"Sempre";"Sim, parque ou trilha";"Sim";5,1;"Sim";4;0;3;4;3;0;1;1;1;1;0;0;0;0;0;0
34;"Silvânia";"Pública";2;3;"Masculino";"";"";"Rural";"";"Colégio Prof. José Pascoal";"Sempre";"Sim, FLONA";"Sim";4,1;"Sim";2;1;2;5;2;1;1;0;0;1;0;0;1;0;0;0
36;"Silvânia";"Pública";2;3;"Feminino";"17";"4";"Urbana";"deco correa";"Colégio Prof. José Pascoal";"Ás vezes";"Sim, parque ou trilha";"Sim";3;"Sim";2;0;0;5;0;0;1;0;1;0;0;0;0;0;0;0
37;"Silvânia";"Pública";2;3;"Feminino";"17";"17";"Rural";"";"Colégio Prof. José Pascoal";"Sempre";"Sim, parque ou trilha";"Sim";3,5;"Sim";3;0;2;5;1;0;1;0;1;1;0;0;0;0;0;0
38;"Silvânia";"Pública";2;3;"Feminino";"17";"";"Rural";"";"Colégio Prof. José Pascoal";"Sempre";"Sim, FLONA";"Sim";3;"Sim";4;1;2;5;1;1;1;1;1;1;0;0;0;0;0;1
39;"Silvânia";"Pública";2;3;"Feminino";"17";"2";"Rural";"";"Colégio Prof. José Pascoal";"Sempre";"Sim, FLONA";"Sim";3,2;"Sim";3;1;2;4;2;1;0;1;1;1;0;0;0;1;0;0
40;"Silvânia";"Pública";2;3;"Feminino";"17";"";"Urbana";"santo antonio";"Colégio Prof. José Pascoal";"Ás vezes";"Sim, parque ou trilha";"Sim";4,8;"Sim";4;0;0;5;0;0;1;0;1;1;1;0;0;0;0;0
41;"Silvânia";"Pública";2;3;"Feminino";"16";"11";"Urbana";"pedrinhas";"Colégio Prof. José Pascoal";"Ás vezes";"Sim, parque ou trilha";"Sim";3,5;"Sim";4;2;4;4;3;1;1;1;1;1;0;0;0;1;0;1
42;"Silvânia";"Pública";2;3;"Masculino";"";"";"Urbana";"pedrinhas";"Colégio Prof. José Pascoal";"Frequentemente";"Sim, outro";"Sim";2,6;"Sim";3;1;3;4;2;1;1;0;1;1;0;0;0;1;0;0
43;"Silvânia";"Pública";2;3;"Feminino";"18";"2";"Urbana";"nossa senhora de fatima";"Colégio Prof. José Pascoal";"Frequentemente";"Não fez";"Não";3,5;"Não";3;0;2;5;1;0;1;1;1;0;0;0;0;0;0;0
44;"Silvânia";"Pública";2;3;"Masculino";"17";"6";"Urbana";"são sebastião";"Colégio Prof. José Pascoal";"Ás vezes";"Sim, parque ou trilha";"Não";8;"Sim";4;0;5;3;4;0;1;0;1;1;1;0;0;0;0;0
45;"Silvânia";"Pública";2;3;"Feminino";"17";"5";"Urbana";"maria de lourdes";"Colégio Prof. José Pascoal";"Frequentemente";"Sim, parque ou trilha";"Sim";3,5;"Sim";3;1;2;3;0;0;1;1;1;0;0;0;0;1;0;0
46;"Silvânia";"Pública";2;3;"Feminino";"18";"18";"Urbana";"são sebastião";"Colégio Prof. José Pascoal";"Ás vezes";"Não fez";"Não";3,5;"Não";3;0;2;4;1;0;1;0;1;0;1;0;0;0;0;0
47;"Silvânia";"Pública";2;3;"Feminino";"16";"16";"Urbana";"são sebastião";"Colégio Prof. José Pascoal";"Frequentemente";"Não fez";"Sim";6;"Não";3;0;2;4;1;0;1;1;1;0;0;0;0;0;0;0
48;"Silvânia";"Pública";2;3;"Feminino";"16";"10";"Urbana";"deco correa";"Colégio Prof. José Pascoal";"Frequentemente";"Sim, FLONA";"Sim";6;"Sim";3;0;3;3;2;0;1;1;1;0;0;0;0;0;0;0
49;"Silvânia";"Pública";2;3;"Masculino";"19";"";"Rural";"";"Colégio Prof. José Pascoal";"Sempre";"Sim, parque ou trilha";"Sim";3,2;"Sim";3;0;2;5;1;0;1;0;1;1;0;0;0;0;0;0
50;"Silvânia";"Pública";2;3;"Feminino";"17";"17";"Urbana";"jardim ipe";"Colégio Prof. José Pascoal";"Ás vezes";"Sim, parque ou trilha";"Sim";4,1;"Sim";4;0;2;4;2;0;1;1;1;1;0;0;0;0;0;0
51;"Silvânia";"Pública";2;3;"Masculino";"17";"17";"Urbana";"maria de lourdes";"Colégio Prof. José Pascoal";"Ás vezes";"Sim, parque ou trilha";"Sim";4;"Sim";3;1;1;4;1;0;1;0;1;1;0;0;0;1;0;0
52;"Silvânia";"Pública";3;4;"Masculino";"16";"16";"Urbana";"pedrinhas";"Colégio Prof. José Pascoal";"Frequentemente";"Sim, parque ou trilha";"Sim";2,6;"Sim";3;2;5;3;3;2;0;0;1;1;1;1;0;0;0;1
53;"Silvânia";"Pública";3;4;"Feminino";"17";"17";"Urbana";"baú";"Colégio Prof. José Pascoal";"Frequentemente";"Sim, parque ou trilha";"Sim";2,5;"Sim";3;3;1;5;1;3;0;1;0;1;1;1;0;0;1;1
54;"Silvânia";"Pública";3;4;"Masculino";"17";"11";"Rural";"";"Colégio Prof. José Pascoal";"Sempre";"Sim, parque ou trilha";"Sim";2,2;"Sim";3;2;2;5;2;2;0;0;1;1;1;1;0;0;0;1
55;"Silvânia";"Pública";3;4;"Feminino";"17";"17";"Urbana";"pedrinhas";"Colégio Prof. José Pascoal";"Raramente";"Sim, parque ou trilha";"Sim";3,1;"Sim";3;1;3;2;2;1;0;1;0;1;1;1;0;0;0;0
56;"Silvânia";"Pública";3;4;"Masculino";"18";"";"Rural";"";"Colégio Prof. José Pascoal";"Sempre";"Sim, FLONA";"Sim";2,5;"Sim";4;2;2;4;2;2;0;1;1;1;1;1;0;0;0;1
57;"Silvânia";"Pública";3;4;"Masculino";"17";"17";"Urbana";"maria de lourdes";"Colégio Prof. José Pascoal";"Raramente";"Sim, parque ou trilha";"Sim";6;"Sim";3;2;2;4;2;2;0;0;1;1;1;1;0;0;0;1
58;"Silvânia";"Pública";3;4;"Feminino";"17";"7";"Urbana";"leonildes cotrim";"Colégio Prof. José Pascoal";"Ás vezes";"Sim, parque ou trilha";"Não";4,5;"Sim";1;1;2;3;0;1;0;1;0;0;0;1;0;0;0;0
59;"Silvânia";"Pública";3;4;"Masculino";"16";"16";"Urbana";"santo antonio";"Colégio Prof. José Pascoal";"Frequentemente";"Sim, outro";"Sim";6,7;"Sim";2;2;3;5;2;2;0;0;1;0;1;1;0;0;1;0
60;"Silvânia";"Pública";3;4;"Feminino";"17";"";"Urbana";"sao sebastiao";"Colégio Prof. José Pascoal";"Frequentemente";"Não fez";"Sim";4,1;"Não";4;2;2;5;2;2;0;1;1;1;1;1;0;0;0;1
61;"Silvânia";"Pública";3;4;"Feminino";"16";"16";"Urbana";"pedrinhas";"Colégio Prof. José Pascoal";"Frequentemente";"Não fez";"Não";4;"Não";2;1;1;5;1;1;0;0;0;1;1;1;0;0;0;0
62;"Silvânia";"Pública";3;4;"Feminino";"16";"12";"Urbana";"maria de lourdes";"Colégio Prof. José Pascoal";"Frequentemente";"Não fez";"Não";4;"Não";1;2;1;3;1;1;0;0;0;0;1;1;0;0;0;1
63;"Silvânia";"Pública";3;4;"Masculino";"17";"";"Urbana";"nossa senhora de fatima";"Colégio Prof. José Pascoal";"Sempre";"Sim, zoologico";"Sim";4;"Sim";3;0;2;3;2;0;0;1;1;0;1;0;0;0;0;0
64;"Silvânia";"Pública";3;4;"Feminino";"18";"";"Urbana";"centro";"Colégio Prof. José Pascoal";"Frequentemente";"Não fez";"Não";6,5;"Não";3;2;1;5;1;2;0;1;0;1;1;1;1;0;0;0
65;"Silvânia";"Pública";3;4;"Masculino";"17";"17";"Urbana";"maria de lourdes";"Colégio Prof. José Pascoal";"Frequentemente";"Sim, parque ou trilha";"Sim";2,4;"Sim";2;2;2;3;1;1;0;1;1;0;0;1;1;0;0;0
66;"Silvânia";"Pública";3;4;"Masculino";"";"";"Urbana";"maria de lourdes";"Colégio Prof. José Pascoal";"Ás vezes";"Sim, FLONA";"Sim";8,2;"Sim";4;3;2;4;2;3;1;0;1;1;1;1;1;0;0;1
67;"Silvânia";"Pública";3;4;"Feminino";"16";"16";"Urbana";"sao sebastião";"Colégio Prof. José Pascoal";"Frequentemente";"Sim, FLONA";"Sim";5,1;"Sim";3;1;4;4;2;1;0;0;1;1;1;0;0;0;0;1
68;"Silvânia";"Pública";3;4;"Feminino";"16";"16";"Urbana";"maria de lourdes";"Colégio Prof. José Pascoal";"Frequentemente";"Não fez";"Não";0,6;"Não";2;2;3;4;1;2;0;0;1;1;0;1;0;0;0;1
69;"Silvânia";"Pública";3;4;"Feminino";"17";"17";"Urbana";"sao sebastião";"Colégio Prof. José Pascoal";"Frequentemente";"Sim, FLONA";"Sim";4,1;"Sim";2;1;1;5;1;1;0;0;0;1;1;1;0;0;0;0
70;"Silvânia";"Pública";4;5;"Masculino";"17";"11";"Rural";"";"Colégio Prof. José Pascoal";"Sempre";"Sim, parque ou trilha";"Sim";3,5;"Sim";5;2;3;5;3;2;1;1;1;1;1;0;0;0;1;1
71;"Silvânia";"Pública";4;5;"Masculino";"17";"17";"Urbana";"";"Colégio Prof. José Pascoal";"Frequentemente";"Sim, parque ou trilha";"Sim";4,1;"Sim";5;2;3;5;3;2;1;1;1;1;1;0;0;0;1;1
72;"Silvânia";"Pública";4;5;"Feminino";"17";"";"Rural";"";"Colégio Prof. José Pascoal";"Ás vezes";"Sim, parque ou trilha";"Sim";4,2;"Sim";5;3;2;5;2;3;1;1;1;1;1;0;0;1;1;1
73;"Silvânia";"Pública";4;5;"Feminino";"16";"9";"Urbana";"sete de setembro";"Colégio Prof. José Pascoal";"Ás vezes";"Sim, parque ou trilha";"Sim";2,7;"Sim";5;3;3;5;3;3;1;1;1;1;1;0;1;1;1;0
74;"Silvânia";"Pública";4;5;"Feminino";"17";"17";"Urbana";"centro";"Colégio Prof. José Pascoal";"Frequentemente";"Sim, parque ou trilha";"Sim";3,5;"Sim";5;3;3;5;3;3;1;1;1;1;1;0;0;1;1;1
75;"Silvânia";"Pública";4;5;"Feminino";"19";"19";"Rural";"";"Colégio Prof. José Pascoal";"Sempre";"Sim, parque ou trilha";"Sim";4,1;"Sim";5;3;0;5;0;3;1;1;1;1;1;0;1;1;1;0
76;"Silvânia";"Pública";4;5;"Feminino";"16";"8";"Rural";"josé seneca lobo";"Colégio Prof. José Pascoal";"Ás vezes";"Sim, parque ou trilha";"Sim";5;"Sim";4;3;5;5;4;3;1;0;1;1;1;0;1;0;1;1
77;"Silvânia";"Pública";4;5;"Masculino";"";"";"Urbana";"";"Colégio Prof. José Pascoal";"Raramente";"Não fez";"Não";4,1;"Não";3;2;4;4;2;2;1;1;0;1;0;0;1;0;0;1
78;"Silvânia";"Pública";4;5;"Masculino";"17";"17";"Urbana";"leonides cotrim";"Colégio Prof. José Pascoal";"Frequentemente";"Sim, outro";"Sim";2,1;"Sim";5;3;3;5;3;3;1;1;1;1;1;0;1;0;1;1
79;"Silvânia";"Pública";4;5;"Masculino";"16";"16";"Urbana";"são sebastião";"Colégio Prof. José Pascoal";"Frequentemente";"Não fez";"Sim";4,6;"Não";5;4;3;5;3;4;1;1;1;1;1;0;1;1;1;1
80;"Silvânia";"Pública";4;5;"Feminino";"16";"16";"Urbana";"maria de lourdes";"Colégio Prof. José Pascoal";"Frequentemente";"Sim, parque ou trilha";"Sim";4;"Sim";4;1;2;5;2;1;1;1;1;1;0;0;0;0;1;0
81;"Silvânia";"Pública";4;5;"Masculino";"";"";"Rural";"";"Colégio Prof. José Pascoal";"Sempre";"Sim, parque ou trilha";"Sim";9;"Sim";5;2;4;2;4;1;1;1;1;1;1;0;0;1;1;0
82;"Silvânia";"Pública";4;5;"Feminino";"18";"15";"Urbana";"maria de lourdes";"Colégio Prof. José Pascoal";"Sempre";"Sim, parque ou trilha";"Sim";6,6;"Sim";4;2;3;5;3;2;0;1;1;1;1;0;1;0;1;0
83;"Silvânia";"Pública";4;5;"Feminino";"17";"13";"Rural";"";"Colégio Prof. José Pascoal";"Sempre";"Sim, parque ou trilha";"Não";4,1;"Sim";5;3;2;4;2;3;1;1;1;1;1;0;0;1;1;1
84;"Silvânia";"Pública";4;5;"Masculino";"16";"16";"Urbana";"jorge barroso";"Colégio Prof. José Pascoal";"Frequentemente";"Sim, parque ou trilha";"Sim";7,6;"Sim";5;3;5;3;5;2;1;1;1;1;1;0;0;1;1;1
85;"Silvânia";"Pública";4;5;"Feminino";"17";"17";"Urbana";"maria de lourdes";"Colégio Prof. José Pascoal";"Frequentemente";"Sim, FLONA";"Sim";2,7;"Sim";5;2;5;2;5;2;1;1;1;1;1;0;0;0;1;1
86;"Silvânia";"Particular";1;6;"Masculino";"17";"17";"Urbana";"pedrinhas";"Instituto Auxiliadora";"Frequentemente";"Sim, parque ou trilha";"Sim";2,2;"Sim";5;2;3;4;3;2;1;1;1;1;1;1;0;1;0;0
87;"Silvânia";"Particular";1;6;"Feminino";"17";"17";"Urbana";"centro";"Instituto Auxiliadora";"Raramente";"Sim, parque ou trilha";"Sim";6,1;"Sim";3;2;3;4;2;2;1;0;1;1;0;1;0;1;0;0
88;"Silvânia";"Particular";1;6;"Masculino";"16";"16";"Urbana";"centro";"Instituto Auxiliadora";"Frequentemente";"Sim, FLONA";"Sim";2,7;"Sim";2;4;3;4;1;3;1;1;0;0;0;1;1;1;1;0
89;"Silvânia";"Particular";1;6;"Feminino";"17";"4";"Urbana";"centro";"Instituto Auxiliadora";"Ás vezes";"Não fez";"Sim";3,8;"Não";3;3;2;5;2;3;0;1;1;1;0;1;1;1;0;0
90;"Silvânia";"Particular";1;6;"Masculino";"17";"17";"Urbana";"setor sul";"Instituto Auxiliadora";"Raramente";"Não fez";"Sim";4,6;"Não";5;2;1;4;1;2;1;1;1;1;1;1;0;1;0;0
91;"Silvânia";"Particular";1;6;"Feminino";"16";"";"Urbana";"parque anchieta";"Instituto Auxiliadora";"Frequentemente";"Não fez";"Sim";4,5;"Não";5;2;4;4;4;2;1;1;1;1;1;1;0;1;0;0
92;"Silvânia";"Particular";1;6;"Feminino";"16";"16";"Urbana";"centro";"Instituto Auxiliadora";"Frequentemente";"Sim, parque ou trilha";"Sim";3,8;"Sim";4;2;4;4;4;2;1;1;1;1;0;1;0;1;0;0
93;"Silvânia";"Particular";1;6;"Feminino";"17";"17";"Rural";"";"Instituto Auxiliadora";"Sempre";"Não fez";"Sim";5;"Não";4;3;2;3;2;2;1;1;1;1;0;1;0;1;0;1
94;"Silvânia";"Particular";1;6;"Masculino";"17";"17";"Urbana";"pedrinhas";"Instituto Auxiliadora";"Ás vezes";"Sim, parque ou trilha";"Sim";4,1;"Sim";4;2;4;4;3;2;0;1;1;1;1;1;0;1;0;0
95;"Silvânia";"Particular";1;6;"Feminino";"17";"17";"Urbana";"parque anchieta";"Instituto Auxiliadora";"Ás vezes";"Sim, parque ou trilha";"Sim";7;"Sim";4;1;3;3;3;1;1;1;1;1;0;0;0;1;0;0
96;"Silvânia";"Particular";1;6;"Masculino";"17";"12";"Urbana";"jorge barroso";"Instituto Auxiliadora";"Frequentemente";"Sim, parque ou trilha";"Sim";4,5;"Sim";4;3;4;5;4;3;1;1;1;1;0;1;0;1;0;1
97;"Silvânia";"Particular";1;6;"Feminino";"16";"16";"Urbana";"centro";"Instituto Auxiliadora";"Frequentemente";"Não fez";"Não";5,5;"Não";5;2;3;3;3;2;1;1;1;1;1;1;0;1;0;0
98;"Silvânia";"Particular";1;6;"Feminino";"17";"17";"Rural";"jorge barroso";"Instituto Auxiliadora";"Ás vezes";"Sim, parque ou trilha";"Sim";4,6;"Sim";4;3;3;4;3;2;0;1;1;1;1;1;1;1;0;0
99;"Silvânia";"Particular";1;6;"Masculino";"17";"16";"Urbana";"jorge barroso";"Instituto Auxiliadora";"Frequentemente";"Não fez";"Não";9,5;"Não";3;3;4;4;3;2;1;0;1;1;0;1;1;1;0;0
100;"Silvânia";"Particular";1;6;"Masculino";"16";"13";"Urbana";"michelle";"Instituto Auxiliadora";"Ás vezes";"Sim, parque ou trilha";"Não";5,5;"Sim";2;1;2;4;1;1;0;1;0;1;0;0;0;1;0;0
101;"Silvânia";"Particular";1;6;"Masculino";"17";"17";"Urbana";"centro";"Instituto Auxiliadora";"Frequentemente";"Sim, parque ou trilha";"Sim";7,5;"Sim";4;3;3;4;3;3;1;1;1;1;0;1;1;1;0;0
102;"Silvânia";"Particular";1;6;"Masculino";"16";"16";"Urbana";"leonides cotrim";"Instituto Auxiliadora";"Ás vezes";"Sim, FLONA";"Sim";9,5;"Sim";2;1;2;5;2;1;0;0;1;1;0;0;0;1;0;0
103;"Silvânia";"Particular";1;6;"Feminino";"17";"";"Urbana";"nossa senhora de fatima";"Instituto Auxiliadora";"Ás vezes";"Sim, FLONA";"Sim";3,6;"Sim";5;3;4;5;4;3;1;1;1;1;1;1;1;1;0;0
104;"Silvânia";"Particular";1;6;"Feminino";"19";"";"Urbana";"nossa senhora de fatima";"Instituto Auxiliadora";"Ás vezes";"Não fez";"Não";7;"Não";4;2;4;5;4;2;1;1;1;1;0;1;0;1;0;0
105;"Silvânia";"Particular";1;6;"Feminino";"17";"11";"Urbana";"bau";"Instituto Auxiliadora";"Frequentemente";"Sim, parque ou trilha";"Sim";5,5;"Sim";3;2;2;4;2;2;0;1;1;1;0;1;0;1;0;0
106;"Silvânia";"Particular";1;6;"Feminino";"17";"";"Urbana";"jorge barroso";"Instituto Auxiliadora";"Ás vezes";"Sim, parque ou trilha";"Sim";4,5;"Sim";4;3;3;3;3;2;1;1;1;1;0;1;0;1;0;1
107;"Silvânia";"Particular";1;6;"Feminino";"16";"7";"Urbana";"parque anchieta";"Instituto Auxiliadora";"Frequentemente";"Não fez";"Não";7;"Não";4;3;3;4;3;3;1;1;0;1;1;1;1;1;0;0
108;"Silvânia";"Particular";1;6;"Masculino";"";"5";"Rural";"";"Instituto Auxiliadora";"Sempre";"Sim, FLONA";"Sim";2,6;"Sim";4;3;3;5;3;3;1;1;1;1;0;1;1;1;0;0
109;"Silvânia";"Particular";1;6;"Feminino";"17";"17";"Urbana";"michelly";"Instituto Auxiliadora";"Ás vezes";"Não fez";"Não";4,1;"Não";1;2;2;3;1;1;0;0;1;0;0;1;0;1;0;0
110;"Silvânia";"Particular";1;6;"Masculino";"18";"18";"Urbana";"anchieta";"Instituto Auxiliadora";"Frequentemente";"Sim, zoologico";"Não";3,8;"Sim";5;2;2;5;2;2;1;1;1;1;1;0;1;1;0;0
111;"Silvânia";"Particular";1;6;"Masculino";"17";"17";"Urbana";"centro";"Instituto Auxiliadora";"Ás vezes";"Não fez";"Não";3,5;"Não";3;3;3;5;2;3;1;1;1;0;0;1;1;1;0;0
112;"Silvânia";"Particular";1;6;"Feminino";"16";"15";"Urbana";"pedrinhas";"Instituto Auxiliadora";"Frequentemente";"Sim, parque ou trilha";"Sim";2,1;"Sim";4;4;3;4;3;3;1;1;1;1;0;1;1;1;0;1
113;"Silvânia";"Particular";2;7;"Masculino";"";"2";"Urbana";"pedrinhas";"Instituto Auxiliadora";"Frequentemente";"Não fez";"Não";4;"Não";4;0;4;4;3;0;1;1;1;1;0;0;0;0;0;0
114;"Silvânia";"Particular";2;7;"Feminino";"17";"17";"Urbana";"conselheiro caetano";"Instituto Auxiliadora";"Frequentemente";"Sim, parque ou trilha";"Sim";4;"Sim";4;0;3;4;3;0;1;1;1;1;0;0;0;0;0;0
